EventId,EventTemplate,type,rec
E1,<*>:<*> Served block blk_<*> to /<*>,Normal,No action needed.
E2,<*>:<*> Starting thread to transfer block blk_<*> to <*>:<*>,Connection Error,Verify connection settings.
E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,Timeout,Consider increasing timeout.
E4,BLOCK* ask <*>:<*> to delete  blk_<*>,Disk Failure,Check disk status and logs.
E5,BLOCK* ask <*>:<*> to replicate blk_<*> to datanode(s) <*>:<*>,Permission Issue,Review user permissions.
E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,Memory Leak,Inspect memory usage patterns.
E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,Config Warning,Check configuration syntax.
E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,Leader Election,Monitor leader election process.
E9,Deleting block blk_<*> file /<*>/blk_<*>,Session Error,Investigate session state.
E10,PacketResponder <*> for block blk_<*> terminating,Client Disconnect,Check client-side logs.
E11,Received block blk_<*> of size <*> from /<*>,Normal,No action needed.
E12,Received block blk_<*> src: /<*>:<*> dest: /<*>:<*> of size <*>,Connection Error,Verify connection settings.
E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Timeout,Consider increasing timeout.
E14,Verification succeeded for blk_<*>,Disk Failure,Check disk status and logs.
